Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time (seconds),Moving Time (seconds),Distance (meters),Max Speed,Average Speed,Elevation Gain (meters),Calories,Average Temperature
14665406817,"Oct 25, 2024, 9:52:41 PM",Afternoon Ride,Ride,6202,5380.0,15865.0,8.909090995788570,2.9488847255706800,423.98748779296900,1769.0,25.0
14665406818,"Oct 27, 2024, 4:55:54 PM",Morning Ride,Ride,6408,5870.0,16001.2001953125,11.380000114440900,2.725928544998170,397.1528625488280,1675.0,22.0
14665406819,"Nov 9, 2024, 9:51:32 PM",Afternoon Ride,Ride,3351,3176.0,10842.400390625,10.233333587646500,3.413853883743290,222.4180908203130,1617.0,23.0
14665406820,"Nov 10, 2024, 5:18:21 PM",Morning Ride,Ride,5713,5489.0,16106.5,8.085714340209960,2.934323310852050,269.60345458984400,1634.0,19.0
14665406824,"Oct 30, 2024, 10:48:12 PM",Afternoon Ride,Ride,7046,6465.0,20882.69921875,11.119999885559100,3.2301158905029300,544.1483154296880,2005.0,20.0
14665406832,"Oct 22, 2024, 11:15:35 PM",Afternoon Ride,Ride,6240,5850.0,17743.69921875,10.699999809265100,3.033111095428470,426.3809509277340,909.0,25.0
14665406834,"Nov 5, 2024, 11:22:57 PM",Afternoon Ride,Ride,6234,6090.0,20785.5,11.119999885559100,3.4130542278289800,543.9052124023440,1934.0,19.0
14665406837,"Nov 11, 2024, 9:22:39 PM",Afternoon Ride,Ride,6426,5647.0,18544.80078125,8.550000190734860,3.2840092182159400,322.1067810058590,1838.0,20.0
14665406843,"Oct 20, 2024, 3:47:14 PM",Morning Ride,Ride,7603,5548.0,9497.5,5.516666889190670,1.7118781805038500,289.2571105957030,823.0,14.0
14665406857,"Nov 3, 2024, 4:31:37 PM",Morning Ride,Ride,7364,6241.0,17200.69921875,6.739999771118160,2.7560808658599900,463.74462890625,1752.0,12.0
14665406858,"Nov 2, 2024, 4:36:56 PM",Morning Ride,Ride,9776,8935.0,36280.30078125,9.050000190734860,4.060470104217530,449.7633361816410,3307.0,16.0
14667420888,"Jun 1, 2025, 8:04:11 PM",Daley Ranch - Cyclemeter,E-Bike Ride,7856,6651.0,28384.400390625,9.699999809265140,4.267689228057860,861.1218872070310,1665.0,
14674327907,"Jun 2, 2025, 3:33:33 PM",Martha's - Cyclemeter,Ride,5893,5464.0,16835.19921875,9.933333396911620,3.0811126232147200,433.2564392089840,1708.0,20.0
14674717207,"Oct 19, 2024, 4:11:29 PM",Morning Ride,Ride,16588,12635.0,27260.80078125,7.212500095367430,2.157562255859380,326.43243408203100,1939.0,12.0
14674717218,"Oct 16, 2024, 11:06:16 PM",Afternoon Ride,Ride,7460,7069.0,21726.400390625,9.925000190734860,3.0734758377075200,537.010498046875,2167.0,20.0
